Name = N-10
Mach = 0; Re = 100000; T.U. = 1,0; T.L. = 1,0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-15,0	-0,671	0,13859	-0,028	0,895	0,013	1,000	0,015	-4,840	0,265	0,209
-14,5	-0,658	0,12897	-0,028	0,868	0,014	1,000	0,015	-5,098	0,270	0,208
-14,0	-0,641	0,12115	-0,028	0,847	0,014	1,000	0,016	-5,290	0,271	0,206
-13,5	-0,621	0,11505	-0,029	0,821	0,014	1,000	0,016	-5,395	0,263	0,204
-13,0	-0,593	0,10898	-0,029	0,805	0,014	1,000	0,016	-5,444	0,257	0,201
-12,5	-0,562	0,10151	-0,029	0,795	0,014	1,000	0,016	-5,541	0,260	0,198
-12,0	-0,530	0,09485	-0,030	0,789	0,014	1,000	0,017	-5,587	0,261	0,194
-11,5	-0,496	0,08820	-0,030	0,784	0,014	1,000	0,017	-5,619	0,262	0,190
-11,0	-0,460	0,08316	-0,030	0,779	0,015	1,000	0,018	-5,528	0,264	0,184
-10,5	-0,422	0,07763	-0,031	0,774	0,015	1,000	0,018	-5,439	0,260	0,177
-10,0	-0,383	0,07325	-0,031	0,763	0,016	1,000	0,018	-5,233	0,257	0,169
-9,5	-0,343	0,06899	-0,031	0,758	0,015	1,000	0,018	-4,973	0,262	0,158
-9,0	-0,302	0,06418	-0,032	0,753	0,016	1,000	0,019	-4,702	0,260	0,143
-8,5	-0,259	0,06138	-0,032	0,742	0,016	1,000	0,018	-4,224	0,259	0,125
-8,0	-0,216	0,05789	-0,033	0,739	0,016	1,000	0,019	-3,730	0,264	0,097
-7,5	-0,172	0,05480	-0,034	0,732	0,016	1,000	0,019	-3,134	0,264	0,055
-7,0	-0,127	0,05174	-0,034	0,726	0,016	1,000	0,020	-2,451	0,266	-0,020
-6,5	-0,081	0,04915	-0,035	0,723	0,016	1,000	0,021	-1,653	0,265	-0,180
-6,0	-0,035	0,04666	-0,036	0,716	0,017	1,000	0,021	-0,753	0,266	-0,763
-5,5	0,011	0,04473	-0,036	0,600	0,017	1,000	0,022	0,256	0,269	3,437
-5,0	0,058	0,04276	-0,037	0,590	0,018	1,000	0,024	1,365	0,612	0,890
-4,5	0,130	0,01469	-0,079	0,584	0,019	1,000	0,960	8,862	0,581	0,860
-4,0	0,189	0,01465	-0,080	0,574	0,021	1,000	0,961	12,874	0,269	0,677
-3,5	0,247	0,01465	-0,082	0,568	0,023	1,000	0,961	16,882	0,270	0,580
-3,0	0,306	0,01604	-0,083	0,561	0,092	1,000	0,961	19,084	0,270	0,521
-2,5	0,365	0,01592	-0,084	0,555	0,189	1,000	0,962	22,923	0,271	0,480
-2,0	0,423	0,01604	-0,085	0,548	0,194	1,000	0,962	26,403	0,270	0,451
-1,5	0,481	0,01522	-0,086	0,542	0,827	1,000	0,956	31,627	0,271	0,429
-1,0	0,540	0,01545	-0,088	0,535	0,843	1,000	0,956	34,943	0,272	0,412
-0,5	0,598	0,01716	-0,089	0,303	0,862	1,000	0,956	34,864	0,271	0,399
0,0	0,663	0,01748	-0,090	0,294	0,884	1,000	0,955	37,902	0,272	0,386
0,5	0,721	0,01791	-0,092	0,281	0,905	1,000	0,955	40,278	0,273	0,377
1,0	0,780	0,01837	-0,093	0,271	0,914	1,000	0,955	42,475	0,273	0,369
1,5	0,839	0,01675	-0,094	0,265	0,922	1,000	0,952	50,073	0,274	0,363
2,0	0,897	0,01710	-0,096	0,258	0,933	1,000	0,952	52,456	0,275	0,357
2,5	0,955	0,01746	-0,097	0,252	0,944	1,000	0,952	54,722	0,276	0,352
3,0	1,013	0,01749	-0,099	0,245	0,953	1,000	0,954	57,933	0,276	0,347
3,5	1,071	0,01937	-0,100	0,100	0,953	1,000	0,955	55,297	0,276	0,344
4,0	1,129	0,01997	-0,102	0,097	0,953	1,000	0,955	56,527	0,277	0,340
4,5	1,186	0,02060	-0,103	0,097	0,953	1,000	0,955	57,579	0,277	0,337
5,0	1,242	0,02163	-0,105	0,094	0,951	1,000	0,952	57,412	0,278	0,334
5,5	1,296	0,02235	-0,106	0,094	0,951	1,000	0,952	58,004	0,280	0,332
6,0	1,350	0,02317	-0,108	0,091	0,951	1,000	0,953	58,272	0,282	0,330
6,5	1,403	0,02773	-0,110	0,089	0,957	1,000	0,958	50,588	0,257	0,328
7,0	1,418	0,02920	-0,109	0,086	0,957	0,876	0,958	48,558	0,238	0,327
7,5	1,455	0,03071	-0,109	0,086	0,957	0,837	0,958	47,381	0,270	0,325
8,0	1,484	0,03413	-0,110	0,027	0,957	0,803	0,958	43,497	0,279	0,324
8,5	1,513	0,03635	-0,111	0,025	0,957	0,779	0,958	41,614	0,284	0,323
9,0	1,533	0,03879	-0,112	0,021	0,957	0,747	0,959	39,527	0,287	0,323
9,5	1,548	0,04177	-0,112	0,019	0,957	0,713	0,959	37,065	0,238	0,322
10,0	1,546	0,04722	-0,111	0,015	0,952	0,645	0,953	32,746	0,408	0,322
10,5	1,537	0,05349	-0,110	0,011	0,952	0,571	0,954	28,731	0,333	0,322
11,0	1,529	0,05829	-0,110	0,009	0,958	0,521	0,959	26,240	0,364	0,322
11,5	1,480	0,07190	-0,104	0,008	0,958	0,365	0,959	20,590	0,456	0,320
12,0	1,388	0,09924	-0,081	0,007	0,958	0,097	0,959	13,990	0,588	0,308
12,5	1,358	0,10897	-0,063	0,006	0,952	0,025	0,954	12,461	0,737	0,296
13,0	1,345	0,11531	-0,060	0,006	0,952	0,019	0,954	11,665	0,467	0,295
13,5	1,328	0,12420	-0,056	0,005	0,958	0,013	0,959	10,692	0,354	0,292
14,0	1,309	0,13206	-0,056	0,005	0,958	0,012	0,959	9,910	0,248	0,293
14,5	1,286	0,14072	-0,056	0,005	0,958	0,011	0,959	9,137	0,246	0,294
15,0	1,260	0,14968	-0,056	0,004	0,958	0,010	0,959	8,415	0,244	0,295


